type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,any additional information,source_file,type of bacteria,concentration of bacteria
,Trametes pubescens,Not applicable,10 g/L,Airlift,28°C,7 days,Not specified,Complete removal of 5% effluent monomers,Laccase activity of 11.8 U/mL achieved after 9 days.,Development+of+a+Combined+Membrane-Ring+Sparger+for+Efficient+Gas+Utilization_.txt,,
,Trametes pubescens,Not applicable,Not applicable,Airlift,Not specified,Not specified,Not specified,Laccase activity reached 2.54 U/mL after 7 days.,Initial glucose concentration was 10 g/L.,Development+of+a+Combined+Membrane-Ring+Sparger+for+Efficient+Gas+Utilization_.txt,,
,Trametes pubescens,Not applicable,Not applicable,Airlift,Not specified,4 days,Not specified,Removal of phenolic compounds at 2% v/v concentration.,Addition of glucose along with the effluent increased tolerance.,Development+of+a+Combined+Membrane-Ring+Sparger+for+Efficient+Gas+Utilization_.txt,,
,Trametes pubescens,Not applicable,Not applicable,Airlift,Not specified,Not specified,Not specified,No residual phenol or cresols after effluent additions.,Sequential additions of effluent had no cumulative build-up.,Development+of+a+Combined+Membrane-Ring+Sparger+for+Efficient+Gas+Utilization_.txt,,
"2,2'-azino-bis(3-ethylbenzothiazoline-6-sulfonic acid) (ABTS)",Kabatiella bupleuri G3,250 mg/L,Not specified,shaking (150 rpm),30°C,60 min,3.5,18.2 ± 2.5%,Dye is a heterocyclic/thiazine dye,Screening+of+novel+laccase+producers-isolation+and+characterization+of+cold-adapted+laccase+from+Kabatiella+bupleuri+G3+capable+of+synthetic+dye+decolorization_.txt,,
Alkaline fuchsin,Kabatiella bupleuri G3,Not specified,Not specified,shaking (150 rpm),30°C,60 min,3.5,31.7 ± 3.3%,Dye is a triphenylmethane dye and aniline dye,Screening+of+novel+laccase+producers-isolation+and+characterization+of+cold-adapted+laccase+from+Kabatiella+bupleuri+G3+capable+of+synthetic+dye+decolorization_.txt,,
Crystal violet,Kabatiella bupleuri G3,Not specified,Not specified,shaking (150 rpm),30°C,60 min,3.5,40.4 ± 7.0%,Dye is a triphenylmethane dye,Screening+of+novel+laccase+producers-isolation+and+characterization+of+cold-adapted+laccase+from+Kabatiella+bupleuri+G3+capable+of+synthetic+dye+decolorization_.txt,,
Coomassie Brilliant Blue R-250,Kabatiella bupleuri G3,Not specified,Not specified,shaking (150 rpm),30°C,60 min,3.5,19.8 ± 5.8%,Dye is a triphenylmethane dye,Screening+of+novel+laccase+producers-isolation+and+characterization+of+cold-adapted+laccase+from+Kabatiella+bupleuri+G3+capable+of+synthetic+dye+decolorization_.txt,,
Carpet dye,Aspergillus niger,5 ml,1 ml,shaking at 200 rpm,27 ºC,7 days,1.62,99.7%,Significant reduction in COD observed.,Decolonization+of+diverse+industrial+dyes+by+some+Phlebia+spp.+and+their+comparison+with+Phaerochaetechrysosporium_.txt,,
Carpet dye,Aspergillus niger,10 ml,1 ml,shaking at 200 rpm,27 ºC,7 days,1.4,99.7%,Significant reduction in COD observed.,Decolonization+of+diverse+industrial+dyes+by+some+Phlebia+spp.+and+their+comparison+with+Phaerochaetechrysosporium_.txt,,
Carpet dye,Aspergillus niger,20 ml,1 ml,shaking at 200 rpm,27 ºC,7 days,1.61,99.7%,Significant reduction in COD observed.,Decolonization+of+diverse+industrial+dyes+by+some+Phlebia+spp.+and+their+comparison+with+Phaerochaetechrysosporium_.txt,,
Carpet dye,Aspergillus niger,30 ml,1 ml,shaking at 200 rpm,27 ºC,7 days,1.6,99.7%,Significant reduction in COD observed.,Decolonization+of+diverse+industrial+dyes+by+some+Phlebia+spp.+and+their+comparison+with+Phaerochaetechrysosporium_.txt,,
Carpet dye,Aspergillus niger,40 ml,1 ml,shaking at 200 rpm,27 ºC,7 days,1.46,99.7%,Significant reduction in COD observed.,Decolonization+of+diverse+industrial+dyes+by+some+Phlebia+spp.+and+their+comparison+with+Phaerochaetechrysosporium_.txt,,
Poly R-478,Bjerkandera sp. BOS55,0.2 g/L,,static,30 °C,30 days,,Significant,3-chloro-anisaldehyde produced,Isolation+and+screening+of+basidiomycetes+with+high+peroxidative+activity_.txt,,
Poly R-478,Trametes versicolor,0.2 g/L,,static,30 °C,30 days,,Less than Bjerkandera sp. BOS55,,Isolation+and+screening+of+basidiomycetes+with+high+peroxidative+activity_.txt,,
Poly R-478,Phanerochaete chrysosporium,0.2 g/L,,static,30 °C,30 days,,Less than Bjerkandera sp. BOS55,,Isolation+and+screening+of+basidiomycetes+with+high+peroxidative+activity_.txt,,
Poly R-478,Ceriporiopsis subvermispora,0.2 g/L,,static,30 °C,30 days,,,,Isolation+and+screening+of+basidiomycetes+with+high+peroxidative+activity_.txt,,
Poly R-478,Bjerkandera adusta,0.2 g/L,,static,30 °C,30 days,,,,Isolation+and+screening+of+basidiomycetes+with+high+peroxidative+activity_.txt,,
Poly R-478,Hypholoma fasciculare,0.2 g/L,,static,30 °C,30 days,,,,Isolation+and+screening+of+basidiomycetes+with+high+peroxidative+activity_.txt,,
Poly R-478,Oudemansiella mucida,0.2 g/L,,static,30 °C,30 days,,,,Isolation+and+screening+of+basidiomycetes+with+high+peroxidative+activity_.txt,,
Poly R-478,Pholiota squarrosa,0.2 g/L,,static,30 °C,30 days,,,,Isolation+and+screening+of+basidiomycetes+with+high+peroxidative+activity_.txt,,
Poly R-478,Trametes hirsuta,0.2 g/L,,static,30 °C,30 days,,,,Isolation+and+screening+of+basidiomycetes+with+high+peroxidative+activity_.txt,,
Poly R-478,Trametes versicolor,0.2 g/L,,static,30 °C,30 days,,,,Isolation+and+screening+of+basidiomycetes+with+high+peroxidative+activity_.txt,,
,Penicillium simplicissimum,,,,,,,,Oxidizes veratryl alcohol to veratraldehyde,Isolation+and+screening+of+basidiomycetes+with+high+peroxidative+activity_.txt,,
Olive Mill Wastewater,Trametes vesicolor,0%,2ml,none specified,28°C,14 days,3,0,Laccase activity recorded at 4.57 U,Screening+of+white+rot+fungi+for+the+treatment+of+olive+mill+wastewaters_.txt,,
Olive Mill Wastewater,Trametes vesicolor,1%,2ml,none specified,28°C,14 days,3,14.50%,"Absorbance at 425nm: 0.72, Laccase Activity: 3.91 U",Screening+of+white+rot+fungi+for+the+treatment+of+olive+mill+wastewaters_.txt,,
Olive Mill Wastewater,Trametes vesicolor,2%,2ml,none specified,28°C,14 days,3,20.34%,"Absorbance at 425nm: 0.67, Laccase Activity: 3.64 U",Screening+of+white+rot+fungi+for+the+treatment+of+olive+mill+wastewaters_.txt,,
Olive Mill Wastewater,Trametes vesicolor,5%,2ml,none specified,28°C,14 days,3,22.85%,"Absorbance at 425nm: 0.65, Laccase Activity: 3.52 U",Screening+of+white+rot+fungi+for+the+treatment+of+olive+mill+wastewaters_.txt,,
Olive Mill Wastewater,Trametes vesicolor,0%,2ml,none specified,28°C,15 minutes,3,76.12%,Best pH for phenolic removal,Screening+of+white+rot+fungi+for+the+treatment+of+olive+mill+wastewaters_.txt,,
Olive Mill Wastewater,Trametes vesicolor,1%,2ml,none specified,28°C,15 minutes,4,47.01%,Absorbance at 500nm: 0.226,Screening+of+white+rot+fungi+for+the+treatment+of+olive+mill+wastewaters_.txt,,
Olive Mill Wastewater,Trametes vesicolor,2%,2ml,none specified,28°C,15 minutes,5,45.52%,Absorbance at 500nm: 0.408,Screening+of+white+rot+fungi+for+the+treatment+of+olive+mill+wastewaters_.txt,,
Olive Mill Wastewater,Trametes vesicolor,3%,2ml,none specified,28°C,15 minutes,6,38.80%,Absorbance at 500nm: 0.599,Screening+of+white+rot+fungi+for+the+treatment+of+olive+mill+wastewaters_.txt,,
Olive Mill Wastewater,Trametes vesicolor,4%,2ml,none specified,28°C,15 minutes,7,1.46%,Absorbance at 500nm: 0.816,Screening+of+white+rot+fungi+for+the+treatment+of+olive+mill+wastewaters_.txt,,
Methyl orange,Pleurotus ostreatus,6.8 mg/L,Not specified,shaking,30°C,24h,4.5,30.86%,,Decolorization+of+textile+dyes+and+their+effluents+using+white+rot+fungi_.txt,,
Methyl orange,Pleurotus ostreatus,6.8 mg/L,Not specified,shaking,30°C,48h,4.5,35.17%,,Decolorization+of+textile+dyes+and+their+effluents+using+white+rot+fungi_.txt,,
Methyl orange,Pleurotus ostreatus,6.8 mg/L,Not specified,shaking,30°C,72h,4.5,44.29%,,Decolorization+of+textile+dyes+and+their+effluents+using+white+rot+fungi_.txt,,
Acid fast red,Pleurotus ostreatus,67 mg/L,Not specified,shaking,30°C,24h,4.5,24.86%,,Decolorization+of+textile+dyes+and+their+effluents+using+white+rot+fungi_.txt,,
Acid fast red,Pleurotus ostreatus,67 mg/L,Not specified,shaking,30°C,48h,4.5,30.89%,,Decolorization+of+textile+dyes+and+their+effluents+using+white+rot+fungi_.txt,,
Acid fast red,Pleurotus ostreatus,67 mg/L,Not specified,shaking,30°C,72h,4.5,50.33%,,Decolorization+of+textile+dyes+and+their+effluents+using+white+rot+fungi_.txt,,
Reactive black 5,Pleurotus ostreatus,100 mg/L,Not specified,shaking,30°C,24h,4.5,78.27%,,Decolorization+of+textile+dyes+and+their+effluents+using+white+rot+fungi_.txt,,
Reactive black 5,Pleurotus ostreatus,100 mg/L,Not specified,shaking,30°C,48h,4.5,84.37%,,Decolorization+of+textile+dyes+and+their+effluents+using+white+rot+fungi_.txt,,
Reactive black 5,Pleurotus ostreatus,100 mg/L,Not specified,shaking,30°C,72h,4.5,89.56%,,Decolorization+of+textile+dyes+and+their+effluents+using+white+rot+fungi_.txt,,
Congo red,Pleurotus ostreatus,20 mg/L,Not specified,shaking,30°C,24h,4.5,88.16%,,Decolorization+of+textile+dyes+and+their+effluents+using+white+rot+fungi_.txt,,
Congo red,Pleurotus ostreatus,20 mg/L,Not specified,shaking,30°C,48h,4.5,89.40%,,Decolorization+of+textile+dyes+and+their+effluents+using+white+rot+fungi_.txt,,
Congo red,Pleurotus ostreatus,20 mg/L,Not specified,shaking,30°C,72h,4.5,91.52%,,Decolorization+of+textile+dyes+and+their+effluents+using+white+rot+fungi_.txt,,
Methylene blue,Pleurotus ostreatus,3.3 mg/L,Not specified,shaking,30°C,24h,4.5,42.49%,,Decolorization+of+textile+dyes+and+their+effluents+using+white+rot+fungi_.txt,,
Methylene blue,Pleurotus ostreatus,3.3 mg/L,Not specified,shaking,30°C,48h,4.5,42.49%,,Decolorization+of+textile+dyes+and+their+effluents+using+white+rot+fungi_.txt,,
Methylene blue,Pleurotus ostreatus,3.3 mg/L,Not specified,shaking,30°C,72h,4.5,42.49%,,Decolorization+of+textile+dyes+and+their+effluents+using+white+rot+fungi_.txt,,
Disperse Violet 31,Pleurotus ostreatus,100 mg/L,Not specified,shaking,30°C,24h,4.5,88.16%,,Decolorization+of+textile+dyes+and+their+effluents+using+white+rot+fungi_.txt,,
Disperse Violet 31,Pleurotus ostreatus,100 mg/L,Not specified,shaking,30°C,48h,4.5,89.40%,,Decolorization+of+textile+dyes+and+their+effluents+using+white+rot+fungi_.txt,,
Disperse Violet 31,Pleurotus ostreatus,100 mg/L,Not specified,shaking,30°C,72h,4.5,91.52%,,Decolorization+of+textile+dyes+and+their+effluents+using+white+rot+fungi_.txt,,
Methyl orange,Phanerochaete chrysosporium,6.8 mg/L,Not specified,shaking,30°C,24h,4.5,20.42%,,Decolorization+of+textile+dyes+and+their+effluents+using+white+rot+fungi_.txt,,
Methyl orange,Phanerochaete chrysosporium,6.8 mg/L,Not specified,shaking,30°C,48h,4.5,26.39%,,Decolorization+of+textile+dyes+and+their+effluents+using+white+rot+fungi_.txt,,
Methyl orange,Phanerochaete chrysosporium,6.8 mg/L,Not specified,shaking,30°C,72h,4.5,33.16%,,Decolorization+of+textile+dyes+and+their+effluents+using+white+rot+fungi_.txt,,
Acid fast red,Phanerochaete chrysosporium,67 mg/L,Not specified,shaking,30°C,24h,4.5,12.67%,,Decolorization+of+textile+dyes+and+their+effluents+using+white+rot+fungi_.txt,,
Acid fast red,Phanerochaete chrysosporium,67 mg/L,Not specified,shaking,30°C,48h,4.5,13.61%,,Decolorization+of+textile+dyes+and+their+effluents+using+white+rot+fungi_.txt,,
Acid fast red,Phanerochaete chrysosporium,67 mg/L,Not specified,shaking,30°C,72h,4.5,21.94%,,Decolorization+of+textile+dyes+and+their+effluents+using+white+rot+fungi_.txt,,
Reactive black 5,Phanerochaete chrysosporium,100 mg/L,Not specified,shaking,30°C,24h,4.5,23.25%,,Decolorization+of+textile+dyes+and+their+effluents+using+white+rot+fungi_.txt,,
Reactive black 5,Phanerochaete chrysosporium,100 mg/L,Not specified,shaking,30°C,48h,4.5,39.77%,,Decolorization+of+textile+dyes+and+their+effluents+using+white+rot+fungi_.txt,,
Reactive black 5,Phanerochaete chrysosporium,100 mg/L,Not specified,shaking,30°C,72h,4.5,52.72%,,Decolorization+of+textile+dyes+and+their+effluents+using+white+rot+fungi_.txt,,
Congo red,,,,,,,,,,Decolorization+of+textile+dyes+and+their+effluents+using+white+rot+fungi_.txt,,
,Agaricus heterocystis,,,static,30 ± 1 °C,17 days,5.5,45.19 ± 1.08 U/ml,Optimum temperature for MnP production,Lignin-degrading+enzymes+of+the+commercial+button+mushroom%2C+Agaricus+bisporus_.txt,,
,Agaricus heterocystis,,,static,30 ± 1 °C,17 days,5.5,48.33 ± 0.87 U/ml,Maximum MnP production observed at pH 5.5,Lignin-degrading+enzymes+of+the+commercial+button+mushroom%2C+Agaricus+bisporus_.txt,,
,Agaricus heterocystis,,,static,30 ± 1 °C,19 days,,53.86 ± 1.09 U/ml,Highest MnP production with peptone,Lignin-degrading+enzymes+of+the+commercial+button+mushroom%2C+Agaricus+bisporus_.txt,,
,Agaricus heterocystis,0.1%,,static,30 ± 1 °C,19 days,,52.17 ± 0.97 U/ml,Maximum MnP production with fructose,Lignin-degrading+enzymes+of+the+commercial+button+mushroom%2C+Agaricus+bisporus_.txt,,
,Agaricus heterocystis,,,static,30 ± 1 °C,17 days,,54.39 ± 0.87 U/ml,Highest MnP production with tryptophan,Lignin-degrading+enzymes+of+the+commercial+button+mushroom%2C+Agaricus+bisporus_.txt,,
Congo Red,Grammothele subargentea,0.01%,,,25°C,7 days,,1,Growth reduction: 22%; Laccase activity: 24.1 mU/cm3,Ligninolytic+ability+and+potential+biotechnology+application+of+the+South+American+fungus+Pleurotus+laciniatocrenatus_.txt,,
Methyl Red,Grammothele subargentea,0.01%,,,25°C,7 days,,1,Growth reduction: 42%; Laccase activity: 52.2 mU/cm3,Ligninolytic+ability+and+potential+biotechnology+application+of+the+South+American+fungus+Pleurotus+laciniatocrenatus_.txt,,
Trypan Blue,Grammothele subargentea,0.01%,,,25°C,7 days,,1,Growth reduction: 1.3%; Laccase activity: 8.6 mU/cm3,Ligninolytic+ability+and+potential+biotechnology+application+of+the+South+American+fungus+Pleurotus+laciniatocrenatus_.txt,,
Methylene Blue B,Grammothele subargentea,0.01%,,,25°C,21 days,,4,Growth reduction: 26.9%; Laccase activity: 13.8 mU/cm3,Ligninolytic+ability+and+potential+biotechnology+application+of+the+South+American+fungus+Pleurotus+laciniatocrenatus_.txt,,
Neutral Red,Grammothele subargentea,0.01%,,,25°C,14 days,,2,Growth reduction: 17.4%; Laccase activity: 13.5 mU/cm3,Ligninolytic+ability+and+potential+biotechnology+application+of+the+South+American+fungus+Pleurotus+laciniatocrenatus_.txt,,
Toluidine Blue,Grammothele subargentea,0.01%,,,25°C,14 days,,2,Growth reduction: 19.5%; Laccase activity: 8.9 mU/cm3,Ligninolytic+ability+and+potential+biotechnology+application+of+the+South+American+fungus+Pleurotus+laciniatocrenatus_.txt,,
Bengal Rose,Grammothele subargentea,0.01%,,,25°C,7 days,,1,Growth reduction: 50.6%; Laccase activity: 75.0 mU/cm3,Ligninolytic+ability+and+potential+biotechnology+application+of+the+South+American+fungus+Pleurotus+laciniatocrenatus_.txt,,
Eosin Y,Grammothele subargentea,0.01%,,,25°C,14 days,,2,Growth reduction: 38.7%; Laccase activity: 9.2 mU/cm3,Ligninolytic+ability+and+potential+biotechnology+application+of+the+South+American+fungus+Pleurotus+laciniatocrenatus_.txt,,
Phloxine,Grammothele subargentea,0.01%,,,25°C,7 days,,1,Growth reduction: 36.8%; Laccase activity: 14.1 mU/cm3,Ligninolytic+ability+and+potential+biotechnology+application+of+the+South+American+fungus+Pleurotus+laciniatocrenatus_.txt,,
Brilliant Green,Grammothele subargentea,0.01%,,,25°C,21 days,,3,Growth reduction: 90.3%; Laccase activity: 292.0 mU/cm3,Ligninolytic+ability+and+potential+biotechnology+application+of+the+South+American+fungus+Pleurotus+laciniatocrenatus_.txt,,
Crystal Violet,Grammothele subargentea,0.01%,,,25°C,21 days,,3,Growth reduction: 84.8%; Laccase activity: 143.5 mU/cm3,Ligninolytic+ability+and+potential+biotechnology+application+of+the+South+American+fungus+Pleurotus+laciniatocrenatus_.txt,,
Fuchsin,Grammothele subargentea,0.01%,,,25°C,14 days,,2,Growth reduction: 23.9%; Laccase activity: 55.9 mU/cm3,Ligninolytic+ability+and+potential+biotechnology+application+of+the+South+American+fungus+Pleurotus+laciniatocrenatus_.txt,,
Brilliant Green,Grammothele subargentea,0.01%,,,25°C,21 days,,3,Highest laccase activity detected,Ligninolytic+ability+and+potential+biotechnology+application+of+the+South+American+fungus+Pleurotus+laciniatocrenatus_.txt,,
Reactive Red 198 (RR198),Penicillium simplicissimum,200 mg L^-1,not specified,shaking at 140 rpm,28°C,7 days,not specified,100%,Absorbance measured at 520 nm,Decolorization+of+polymeric+dyes+by+a+novel+Penicillium+isolate_.txt,,
Reactive Blue 21 (RB21),Penicillium simplicissimum,200 mg L^-1,not specified,shaking at 140 rpm,28°C,2 days,not specified,100%,Absorbance measured at 675 nm,Decolorization+of+polymeric+dyes+by+a+novel+Penicillium+isolate_.txt,,
Reactive Blue 214 (RB214),Penicillium simplicissimum,200 mg L^-1,not specified,shaking at 140 rpm,28°C,7 days,not specified,100%,Absorbance measured at 610 nm,Decolorization+of+polymeric+dyes+by+a+novel+Penicillium+isolate_.txt,,
Mixture of three dyes (MXD),Penicillium simplicissimum,66.6 mg L^-1 for each dye,not specified,shaking at 140 rpm,28°C,5 days,not specified,100%,Absorbance measured at 620 nm,Decolorization+of+polymeric+dyes+by+a+novel+Penicillium+isolate_.txt,,
Reactive Red 198 (RR198),Penicillium simplicissimum,200 mg L^-1,not specified,shaking at 140 rpm,28°C,14 days,not specified,toxicity increased from minor acutely toxic to moderately acutely toxic,EC50 value decreased from 30.8% to 9.5%,Decolorization+of+polymeric+dyes+by+a+novel+Penicillium+isolate_.txt,,
Reactive Blue 214 (RB214),Penicillium simplicissimum,200 mg L^-1,not specified,shaking at 140 rpm,28°C,14 days,not specified,remained minor acutely toxic,EC50 value increased from 31.4% to 34.8%,Decolorization+of+polymeric+dyes+by+a+novel+Penicillium+isolate_.txt,,
Reactive Blue 21 (RB21),Penicillium simplicissimum,200 mg L^-1,not specified,shaking at 140 rpm,28°C,14 days,not specified,toxicity reduced from moderately acutely toxic to minor acutely toxic,EC50 value increased from 1.1% to 20.3%,Decolorization+of+polymeric+dyes+by+a+novel+Penicillium+isolate_.txt,,
Mixture of three dyes (MXD),Penicillium simplicissimum,66.6 mg L^-1 for each dye,not specified,shaking at 140 rpm,28°C,14 days,not specified,remained minor acutely toxic,EC50 value increased from 42.2% to 49.8%,Decolorization+of+polymeric+dyes+by+a+novel+Penicillium+isolate_.txt,,
Basic Violet 3 (Crystal Violet),P. chrysosporium ATCC 24725,200 ppm,not specified,static,28°C,30 days,6.0,DI = 0.00,A (Control) DI values with p-value > 0.05,Decolorization+of+synthetic+dyes+by+white-rot+fungi%2C+Enzyme+and..._.txt,,
Basic Violet 3 (Crystal Violet),T. maxima LE130,200 ppm,not specified,static,28°C,30 days,6.0,DI = 2.543 at day 15,Significant difference (p ≤ 0.05),Decolorization+of+synthetic+dyes+by+white-rot+fungi%2C+Enzyme+and..._.txt,,
Basic Violet 3 (Crystal Violet),Trametes sp. LA1,200 ppm,not specified,static,28°C,30 days,6.0,DI = 0.413 at day 15,Significant difference (p ≤ 0.05),Decolorization+of+synthetic+dyes+by+white-rot+fungi%2C+Enzyme+and..._.txt,,
Reactive Black 5,P. chrysosporium ATCC 24725,200 ppm,not specified,static,28°C,30 days,6.0,DI = 0.000,A (Control) DI values with p-value > 0.05,Decolorization+of+synthetic+dyes+by+white-rot+fungi%2C+Enzyme+and..._.txt,,
Reactive Black 5,T. maxima LE130,200 ppm,not specified,static,28°C,30 days,6.0,DI = 1.000 at day 15,Significant difference (p ≤ 0.05),Decolorization+of+synthetic+dyes+by+white-rot+fungi%2C+Enzyme+and..._.txt,,
Reactive Black 5,Trametes sp. LA1,200 ppm,not specified,static,28°C,30 days,6.0,DI = 0.413 at day 15,Significant difference (p ≤ 0.05),Decolorization+of+synthetic+dyes+by+white-rot+fungi%2C+Enzyme+and..._.txt,,
Remazol Brilliant Blue R,T. maxima LE130,200 ppm,not specified,200 rpm,28°C,24 hours,not specified,54.94%,Significant difference (p ≤ 0.05),Decolorization+of+synthetic+dyes+by+white-rot+fungi%2C+Enzyme+and..._.txt,,
Remazol Brilliant Blue R,Trametes sp. LA1,200 ppm,not specified,200 rpm,28°C,24 hours,not specified,49.60%,Significant difference (p ≤ 0.05),Decolorization+of+synthetic+dyes+by+white-rot+fungi%2C+Enzyme+and..._.txt,,
Reactive Black 5,T. maxima LE130,200 ppm,not specified,200 rpm,28°C,24 hours,not specified,61.01%,Significant difference (p ≤ 0.05),Decolorization+of+synthetic+dyes+by+white-rot+fungi%2C+Enzyme+and..._.txt,,
Reactive Black 5,Trametes sp. LA1,200 ppm,not specified,200 rpm,28°C,24 hours,not specified,54.80%,Significant difference (p ≤ 0.05),Decolorization+of+synthetic+dyes+by+white-rot+fungi%2C+Enzyme+and..._.txt,,
Crystal Violet,T. maxima LE130,200 ppm,not specified,200 rpm,28°C,24 hours,not specified,41.05%,Significant difference (p ≤ 0.05),Decolorization+of+synthetic+dyes+by+white-rot+fungi%2C+Enzyme+and..._.txt,,
Crystal Violet,Trametes sp. LA1,200 ppm,not specified,200 rpm,28°C,24 hours,not specified,79.70%,Significant difference (p ≤ 0.05),Decolorization+of+synthetic+dyes+by+white-rot+fungi%2C+Enzyme+and..._.txt,,
Malachite Green,Pleurotus ostreatus,20 mg L-1,2% (v/v),120 rpm,25 °C,72 h,4.5,98.1 ± 0.04%,Laccase activity: 54.8 ± 8.9 UL-1,Biodegradation+of+triphenylmethane+dye+Malachite+Green+by+Sphingomonas+paucimobilis_.txt,,
Malachite Green,Pleurotus ostreatus,20 mg L-1,2% (v/v),120 rpm,30 °C,72 h,6.0,96.2 ± 0.1%,Laccase activity: 54.8 ± 8.9 UL-1,Biodegradation+of+triphenylmethane+dye+Malachite+Green+by+Sphingomonas+paucimobilis_.txt,,
Crystal Violet,Pleurotus ostreatus,10 mg L-1,2% (v/v),120 rpm,30 °C,216 h,6.0,98.3 ± 0.05%,Laccase activity: 30.6 ± 2.9 UL-1,Biodegradation+of+triphenylmethane+dye+Malachite+Green+by+Sphingomonas+paucimobilis_.txt,,
Crystal Violet,Pleurotus ostreatus,10 mg L-1,2% (v/v),120 rpm,25 °C,216 h,6.0,96.8 ± 0.4%,Laccase activity: 30.6 ± 2.9 UL-1,Biodegradation+of+triphenylmethane+dye+Malachite+Green+by+Sphingomonas+paucimobilis_.txt,,
Malachite Green,Pleurotus ostreatus,10 mg L-1,2% (v/v),150 rpm,30 °C,72 h,4.5,96.0 ± 0.3%,Laccase activity: 54.8 ± 8.9 UL-1,Biodegradation+of+triphenylmethane+dye+Malachite+Green+by+Sphingomonas+paucimobilis_.txt,,
Crystal Violet,Pleurotus ostreatus,10 mg L-1,2% (v/v),150 rpm,30 °C,216 h,4.5,95.5 ± 0.2%,Laccase activity: 30.6 ± 2.9 UL-1,Biodegradation+of+triphenylmethane+dye+Malachite+Green+by+Sphingomonas+paucimobilis_.txt,,
Malachite Green,Pleurotus ostreatus,20 mg L-1,2% (v/v),150 rpm,30 °C,72 h,4.5,99.0 ± 0.1%,Laccase activity: 54.8 ± 8.9 UL-1,Biodegradation+of+triphenylmethane+dye+Malachite+Green+by+Sphingomonas+paucimobilis_.txt,,
Crystal Violet,Pleurotus ostreatus,10 mg L-1,2% (v/v),120 rpm,30 °C,216 h,6.0,95.0 ± 0.5%,Laccase activity: 30.6 ± 2.9 UL-1,Biodegradation+of+triphenylmethane+dye+Malachite+Green+by+Sphingomonas+paucimobilis_.txt,,
Acid Red 131,Aspergillus niger,100 mg/L,varied (24 hr culture),shaking,room temperature,60 minutes,7.4,not specified,Absorbance monitored at 550 nm,Chemical+pretreatment+and+aerobic%E2%80%93anaerobic+degradation+of+textile+dye+wastewater_.txt,,
Acid Red 131,Aspergillus niger,25 mg/L,varied (24 hr culture),shaking,30°C,not specified,7.0,maximum decolorization observed,First-order kinetics followed,Chemical+pretreatment+and+aerobic%E2%80%93anaerobic+degradation+of+textile+dye+wastewater_.txt,,
Acid Red 131,Aspergillus niger,50 mg/L,varied (24 hr culture),shaking,30°C,not specified,7.0,maximum decolorization observed,First-order kinetics followed,Chemical+pretreatment+and+aerobic%E2%80%93anaerobic+degradation+of+textile+dye+wastewater_.txt,,
Acid Red 131,Aspergillus niger,75 mg/L,varied (24 hr culture),shaking,30°C,60 minutes,7.0,maximum decolorization observed,First-order kinetics followed,Chemical+pretreatment+and+aerobic%E2%80%93anaerobic+degradation+of+textile+dye+wastewater_.txt,,
Acid Red 131,Aspergillus niger,100 mg/L,varied (24 hr culture),shaking,30°C,not specified,7.0,lower decolorization,Higher dye load requires more time for degradation,Chemical+pretreatment+and+aerobic%E2%80%93anaerobic+degradation+of+textile+dye+wastewater_.txt,,
Acid Red 131,Aspergillus niger,100 mg/L,varied (24 hr culture),shaking,40°C,not specified,7.0,initial decolorization observed,First-order kinetics followed,Chemical+pretreatment+and+aerobic%E2%80%93anaerobic+degradation+of+textile+dye+wastewater_.txt,,
Acid Red 131,Aspergillus niger,100 mg/L,varied (24 hr culture),shaking,50°C,not specified,7.0,decreased rate of degradation,First-order kinetics followed,Chemical+pretreatment+and+aerobic%E2%80%93anaerobic+degradation+of+textile+dye+wastewater_.txt,,
Reactive Red HE8B,Phanerochaete chrysosporium,10 mg/L,3 discs (10mm diameter),static,27°C,13 days,not specified,complete decolorization,Delayed decolorization due to complex dye structure,Contribution+of+lignin+degrading+enzymes+in+decolourisation+and+degradation+of+reactive+textile+dyes_.txt,,
Reactive Black B,Phanerochaete chrysosporium,10 mg/L,3 discs (10mm diameter),static,27°C,11 days,not specified,complete decolorization,Rapid decolorization,Contribution+of+lignin+degrading+enzymes+in+decolourisation+and+degradation+of+reactive+textile+dyes_.txt,,
Reactive Golden Yellow HR,Phanerochaete chrysosporium,10 mg/L,3 discs (10mm diameter),static,27°C,11 days,not specified,complete decolorization,Rapid decolorization,Contribution+of+lignin+degrading+enzymes+in+decolourisation+and+degradation+of+reactive+textile+dyes_.txt,,
Reactive Violet 5R,Phanerochaete chrysosporium,10 mg/L,3 discs (10mm diameter),static,27°C,11 days,not specified,complete decolorization,Rapid decolorization,Contribution+of+lignin+degrading+enzymes+in+decolourisation+and+degradation+of+reactive+textile+dyes_.txt,,
Reactive Red HE8B,Phanerochaete chrysosporium,50 mg/L,3 discs (10mm diameter),static,27°C,not specified,not specified,not specified,Time required for decolorization increased with concentration,Contribution+of+lignin+degrading+enzymes+in+decolourisation+and+degradation+of+reactive+textile+dyes_.txt,,
Reactive Black B,Phanerochaete chrysosporium,50 mg/L,3 discs (10mm diameter),static,27°C,not specified,not specified,not specified,Time required for decolorization increased with concentration,Contribution+of+lignin+degrading+enzymes+in+decolourisation+and+degradation+of+reactive+textile+dyes_.txt,,
